,SEG-M,TER-M,QUA-M,QUI-M,SEX-M,SAB-M,SEG-V,TER-V,QUA-V,QUI-V,SEX-V,SAB-V,SEG-N,TER-N,QUA-N,QUI-N,SEX-N,SAB-N,Não Alocadas (13)
201-A,ENGENHARIA AMBIENTAL E SANITÁRIA 1,ENGENHARIA AMBIENTAL E SANITÁRIA 1,ENGENHARIA AMBIENTAL E SANITÁRIA 1,ENGENHARIA AMBIENTAL E SANITÁRIA 1,ENGENHARIA AMBIENTAL E SANITÁRIA 1,-,ENGENHARIA AMBIENTAL E SANITÁRIA 1,ENGENHARIA AMBIENTAL E SANITÁRIA 1,ENGENHARIA AMBIENTAL E SANITÁRIA 1,ENGENHARIA AMBIENTAL E SANITÁRIA 1,ENGENHARIA AMBIENTAL E SANITÁRIA 1,-,LETRAS - PIN 3,ADMINISTRAÇÃO 1,ENGENHARIA AMBIENTAL E SANITÁRIA 1,ENGENHARIA AMBIENTAL E SANITÁRIA 1,ENGENHARIA AMBIENTAL E SANITÁRIA 1,-,GCS530_1
202-A,-,-,AGRONOMIA 2,-,AGRONOMIA 2,-,-,AGRONOMIA 2,-,-,-,-,MATEMÁTICA 1,MATEMÁTICA 7,MATEMÁTICA 1,PEDAGOGIA 1,MATEMÁTICA 1,-,GCS536_1
203-A,AGRONOMIA 1,-,-,-,-,-,MATEMÁTICA 1,-,-,-,-,-,MATEMÁTICA 1,MATEMÁTICA 1,MATEMÁTICA 1,MATEMÁTICA 1,MATEMÁTICA 1,-,GCS550_1
204-A,-,-,-,-,-,-,-,-,-,-,-,-,MATEMÁTICA 1,MATEMÁTICA 1,MATEMÁTICA 1,MATEMÁTICA 1,MATEMÁTICA 1,-,GEX213_1
205-A,-,-,-,AGRONOMIA 4,-,-,-,AGRONOMIA 4,-,ENFERMAGEM 1,-,-,MATEMÁTICA 1,CIÊNCIAS SOCIAIS 1,CIÊNCIAS SOCIAIS 1,MATEMÁTICA 1,PEDAGOGIA 1,-,GCH1402_1
206-A,-,ENGENHARIA AMBIENTAL E SANITÁRIA 1,-,-,-,LETRAS 1,LETRAS 1,LETRAS 1,-,-,-,-,LETRAS 1,LETRAS 1,LETRAS 1,LETRAS 5,LETRAS 1,-,GSA190_1
207-A,ADMINISTRAÇÃO 1,ADMINISTRAÇÃO 1,ADMINISTRAÇÃO 1,ADMINISTRAÇÃO 1,ADMINISTRAÇÃO 1,-,-,LETRAS 1,ADMINISTRAÇÃO 1,ADMINISTRAÇÃO 1,-,-,ADMINISTRAÇÃO 1,LETRAS 14,LETRAS 1,LETRAS 1,ADMINISTRAÇÃO 1,-,GSA268_1
208-A,ADMINISTRAÇÃO 1,ADMINISTRAÇÃO 1,ADMINISTRAÇÃO 1,ADMINISTRAÇÃO 1,ADMINISTRAÇÃO 1,ADMINISTRAÇÃO 1,LETRAS 1,LETRAS 1,LETRAS 1,LETRAS 1,LETRAS 1,-,LETRAS 1,ADMINISTRAÇÃO 1,LETRAS 1,ADMINISTRAÇÃO 1,ADMINISTRAÇÃO 1,-,GSA281_1
209-A,ADMINISTRAÇÃO 1,ADMINISTRAÇÃO 1,ADMINISTRAÇÃO 1,ADMINISTRAÇÃO 1,ADMINISTRAÇÃO 1,-,-,AGRONOMIA 1,LETRAS 1,-,-,-,ADMINISTRAÇÃO 1,LETRAS 1,LETRAS 1,LETRAS 1,ADMINISTRAÇÃO 1,-,GSA283_1
210-A,ADMINISTRAÇÃO 3,ADMINISTRAÇÃO 1,ADMINISTRAÇÃO 1,ADMINISTRAÇÃO 1,ADMINISTRAÇÃO 9,LETRAS 1,-,-,LETRAS 5,-,-,LETRAS 1,ADMINISTRAÇÃO 4,LETRAS 1,LETRAS 2,ADMINISTRAÇÃO 1,LETRAS 1,-,GSA284_1
301-A,AGRONOMIA 1,AGRONOMIA 1,AGRONOMIA 1,AGRONOMIA 1,AGRONOMIA 1,AGRONOMIA 1,MEDICINA 8 | MEDICINA 1,AGRONOMIA 1,AGRONOMIA 1,MEDICINA 1,AGRONOMIA 1,AGRONOMIA 1,MEDICINA 1,AGRONOMIA 1,MEDICINA 1,MEDICINA 1,AGRONOMIA 1,AGRONOMIA 1,GSA287_1
302-A,-,ENFERMAGEM 1,AGRONOMIA 1,-,-,-,-,AGRONOMIA 1,ENFERMAGEM 1,AGRONOMIA 1,AGRONOMIA 1,-,CIÊNCIA DA COMPUTAÇÃO 1,-FUSÃO: FILOSOFIA + LETRAS 1,PEDAGOGIA 4,LETRAS - PIN 2,-FUSÃO: GEOGRAFIA + HISTÓRIA 1,-,GCH1035_1
303-A,-,-,ADMINISTRAÇÃO 1,ENGENHARIA AMBIENTAL E SANITÁRIA 1,-,CIÊNCIAS SOCIAIS 1,-,CIÊNCIAS SOCIAIS 1,-,-,-,CIÊNCIAS SOCIAIS 1,CIÊNCIAS SOCIAIS 1,CIÊNCIAS SOCIAIS 1,CIÊNCIAS SOCIAIS 1,CIÊNCIAS SOCIAIS 1,CIÊNCIAS SOCIAIS 9,CIÊNCIAS SOCIAIS 1,GCH1110_1
304-A,-,-,-,-,-,-,-,-,-,-,-,-,CIÊNCIAS SOCIAIS 1,CIÊNCIAS SOCIAIS 1,CIÊNCIAS SOCIAIS 1,CIÊNCIAS SOCIAIS 1,CIÊNCIAS SOCIAIS 1,-,-
305-A,-,-,-,-,AGRONOMIA 1,-,CIÊNCIA DA COMPUTAÇÃO 2,-,LETRAS - PROIMIGRANTE 2,AGRONOMIA 1,-,-,CIÊNCIAS SOCIAIS 1,CIÊNCIAS SOCIAIS 1,CIÊNCIAS SOCIAIS 1,CIÊNCIAS SOCIAIS 1,CIÊNCIAS SOCIAIS 1,-,-
306-A,ENFERMAGEM 1,ENFERMAGEM 1,ENFERMAGEM 1,ENFERMAGEM 1,-,HISTÓRIA 1,ENFERMAGEM 2,ENFERMAGEM 1,ENFERMAGEM 1,ENFERMAGEM 1,ENFERMAGEM 1,-,HISTÓRIA 15,HISTÓRIA 1,HISTÓRIA 1,HISTÓRIA 1,HISTÓRIA 1,-,-
307-A,ENFERMAGEM 2,ENFERMAGEM 1,ENFERMAGEM 1,ENFERMAGEM 1,-,-,ENFERMAGEM 1,ENFERMAGEM 1,ENFERMAGEM 1,ENFERMAGEM 1,ENFERMAGEM 1,-,HISTÓRIA 1,HISTÓRIA 1,HISTÓRIA 1,HISTÓRIA 1,HISTÓRIA 1,-,-
308-A,HISTÓRIA 1,ENFERMAGEM 1,ENFERMAGEM 1,HISTÓRIA 1,-,-,ENFERMAGEM 1,ENFERMAGEM 1,ENFERMAGEM 1,ENFERMAGEM 1,ENFERMAGEM 2,-,HISTÓRIA 1,HISTÓRIA 3,HISTÓRIA 1,HISTÓRIA 1,HISTÓRIA 1,-,-
309-A,ENFERMAGEM 1,ENFERMAGEM 1,ENFERMAGEM 1,ENFERMAGEM 1,-,LETRAS 1,ENFERMAGEM 1,ENFERMAGEM 1,ENFERMAGEM 1,ENFERMAGEM 1,ENFERMAGEM 1,-,LETRAS 1,LETRAS 1,LETRAS 1,LETRAS 1,LETRAS 1,-,-
407-A,AGRONOMIA 2,-,-,-,PEDAGOGIA 1,-,-,-,-,-,-,-,LETRAS 4,ADMINISTRAÇÃO 11,CIÊNCIA DA COMPUTAÇÃO 5,CIÊNCIA DA COMPUTAÇÃO 1,-,-,-
408-A,-,-,-,-,-,-,-,-,-,-,-,-,CIÊNCIA DA COMPUTAÇÃO 1,-FUSÃO: MATEMÁTICA + PEDAGOGIA 2,-FUSÃO: GEOGRAFIA + HISTÓRIA 1,LETRAS 1,CIÊNCIA DA COMPUTAÇÃO 2,-,-
201-B,-,ENGENHARIA AMBIENTAL E SANITÁRIA 1,ENGENHARIA AMBIENTAL E SANITÁRIA 1,MEDICINA 11,-,-,LETRAS - PIN 1,-,-,-,-,-,-FUSÃO: CIÊNCIAS SOCIAIS + HISTÓRIA 5,ADMINISTRAÇÃO 1,ADMINISTRAÇÃO 1,LETRAS 1,ADMINISTRAÇÃO 3,-,-
202-B,PEDAGOGIA 1,PEDAGOGIA 1,PEDAGOGIA 1,PEDAGOGIA 1,PEDAGOGIA 1,-,AGRONOMIA 1,ENGENHARIA AMBIENTAL E SANITÁRIA 1,MEDICINA 1,ENGENHARIA AMBIENTAL E SANITÁRIA 1,-,-,PEDAGOGIA 1,PEDAGOGIA 1,PEDAGOGIA 1,PEDAGOGIA 1,PEDAGOGIA 1,-,-
203-B,PEDAGOGIA 1,PEDAGOGIA 2,PEDAGOGIA 1,PEDAGOGIA 1,PEDAGOGIA 1,PEDAGOGIA 1,-,AGRONOMIA 1,ENGENHARIA AMBIENTAL E SANITÁRIA 16,-,ENGENHARIA AMBIENTAL E SANITÁRIA 16,-,PEDAGOGIA 1,PEDAGOGIA 1,PEDAGOGIA 1,PEDAGOGIA 1,PEDAGOGIA 1,-,-
204-B,PEDAGOGIA 1,PEDAGOGIA 1,PEDAGOGIA 1,PEDAGOGIA 3,PEDAGOGIA 4,PEDAGOGIA 1,ENGENHARIA AMBIENTAL E SANITÁRIA 2,-,-,ENGENHARIA AMBIENTAL E SANITÁRIA 2,-,PEDAGOGIA 1,PEDAGOGIA 1,PEDAGOGIA 1,PEDAGOGIA 1,PEDAGOGIA 1,PEDAGOGIA 1,-,-
205-B,PEDAGOGIA 1,PEDAGOGIA 1,PEDAGOGIA 1,PEDAGOGIA 1,PEDAGOGIA 1,PEDAGOGIA 1,AGRONOMIA 2,-,ENGENHARIA AMBIENTAL E SANITÁRIA 1,-,-,PEDAGOGIA 1,PEDAGOGIA 1,PEDAGOGIA 4,PEDAGOGIA 1,PEDAGOGIA 2,PEDAGOGIA 6,-,-
206-B,PEDAGOGIA 1,PEDAGOGIA 1,PEDAGOGIA 1,PEDAGOGIA 1,PEDAGOGIA 1,PEDAGOGIA 1,-,-,-,AGRONOMIA 1,-,-,PEDAGOGIA 1,PEDAGOGIA 1,PEDAGOGIA 2,PEDAGOGIA 1,PEDAGOGIA 1,-,-
207-B,ENGENHARIA AMBIENTAL E SANITÁRIA 1,-,-,AGRONOMIA 1,ENGENHARIA AMBIENTAL E SANITÁRIA 1,-,AGRONOMIA 1,ENFERMAGEM 1,AGRONOMIA 1,ENGENHARIA AMBIENTAL E SANITÁRIA 1,-,-,CIÊNCIA DA COMPUTAÇÃO 2,ADMINISTRAÇÃO 1,CIÊNCIA DA COMPUTAÇÃO 1,ADMINISTRAÇÃO 1,LETRAS 1,-,-
208-B,ENGENHARIA AMBIENTAL E SANITÁRIA 1,-,AGRONOMIA 1,-,-,-,AGRONOMIA 1,-,-,AGRONOMIA 3,-,-,MATEMÁTICA 1,CIÊNCIA DA COMPUTAÇÃO 1,ADMINISTRAÇÃO 3,CIÊNCIAS SOCIAIS 1,ADMINISTRAÇÃO 1,-,-
209-B,AGRONOMIA 1,ENGENHARIA AMBIENTAL E SANITÁRIA 1,-,AGRONOMIA 5,PEDAGOGIA 4,-,ENGENHARIA AMBIENTAL E SANITÁRIA 1,AGRONOMIA 5 | ENGENHARIA AMBIENTAL E SANITÁRIA 1,AGRONOMIA 1,-,-,-,CIÊNCIA DA COMPUTAÇÃO 2,PEDAGOGIA 1,PEDAGOGIA 1,HISTÓRIA 1,-,-,-
210-B,MEDICINA 1,-,-,ENFERMAGEM 1,AGRONOMIA 1,-,-,-,-,-,-,-,LETRAS 1,MEDICINA 1,ADMINISTRAÇÃO 1,-FUSÃO: FILOSOFIA + MATEMÁTICA 1,CIÊNCIA DA COMPUTAÇÃO 1,-,-
301-B,MEDICINA 1,MEDICINA 1,MEDICINA 1,MEDICINA 13,MEDICINA 1,GEOGRAFIA 1,MEDICINA 1,MEDICINA 1,MEDICINA 1,MEDICINA 1,MEDICINA 1,GEOGRAFIA 1,GEOGRAFIA 1,GEOGRAFIA 1,MEDICINA 1,GEOGRAFIA 10,MEDICINA 8,-,-
302-B,-,-,-,-,AGRONOMIA 1,ENGENHARIA AMBIENTAL E SANITÁRIA 1,GEOGRAFIA 1,GEOGRAFIA 1,-,ENGENHARIA AMBIENTAL E SANITÁRIA 1,-,-,GEOGRAFIA 1,GEOGRAFIA 1,GEOGRAFIA 8,GEOGRAFIA 8,GEOGRAFIA 1,-,-
303-B,MEDICINA 1,MEDICINA 1,MEDICINA 1,MEDICINA 1,MEDICINA 1,GEOGRAFIA 1,MEDICINA 1,MEDICINA 1,MEDICINA 1,MEDICINA 1,MEDICINA 1,-,GEOGRAFIA 1,GEOGRAFIA 1,GEOGRAFIA 1,GEOGRAFIA 1,GEOGRAFIA 1,-,-
304-B,MEDICINA 1,MEDICINA 1,-,MEDICINA 1,MEDICINA 1,-,MEDICINA 1,MEDICINA 1,MEDICINA 1,-,MEDICINA 1,-,MEDICINA 1,GEOGRAFIA 1,GEOGRAFIA 1,GEOGRAFIA 1,GEOGRAFIA 6,-,-
305-B,-,AGRONOMIA 1,-,CIÊNCIA DA COMPUTAÇÃO 1,CIÊNCIA DA COMPUTAÇÃO 1,CIÊNCIA DA COMPUTAÇÃO 1,CIÊNCIA DA COMPUTAÇÃO 1,CIÊNCIA DA COMPUTAÇÃO 1 | CIÊNCIA DA COMPUTAÇÃO 2,CIÊNCIA DA COMPUTAÇÃO 2,CIÊNCIA DA COMPUTAÇÃO 1 | CIÊNCIA DA COMPUTAÇÃO 2,CIÊNCIA DA COMPUTAÇÃO 1,-,FILOSOFIA 1,CIÊNCIA DA COMPUTAÇÃO 1,FILOSOFIA 1,CIÊNCIA DA COMPUTAÇÃO 1,CIÊNCIA DA COMPUTAÇÃO 1,-,-
308-B,CIÊNCIA DA COMPUTAÇÃO 1,CIÊNCIA DA COMPUTAÇÃO 1,-,CIÊNCIA DA COMPUTAÇÃO 1,CIÊNCIA DA COMPUTAÇÃO 1,CIÊNCIA DA COMPUTAÇÃO 1,CIÊNCIA DA COMPUTAÇÃO 1,CIÊNCIA DA COMPUTAÇÃO 1,CIÊNCIA DA COMPUTAÇÃO 1,CIÊNCIA DA COMPUTAÇÃO 1,CIÊNCIA DA COMPUTAÇÃO 1,-,FILOSOFIA 1,CIÊNCIA DA COMPUTAÇÃO 2,CIÊNCIA DA COMPUTAÇÃO 1,CIÊNCIA DA COMPUTAÇÃO 1,FILOSOFIA 1,-,-
309-B,-FUSÃO: ENGENHARIA AMBIENTAL E SANITÁRIA + PEDAGOGIA 1,-,-,-,AGRONOMIA 1,-,CIÊNCIA DA COMPUTAÇÃO 1,CIÊNCIA DA COMPUTAÇÃO 1,CIÊNCIA DA COMPUTAÇÃO 1,CIÊNCIA DA COMPUTAÇÃO 1,CIÊNCIA DA COMPUTAÇÃO 1,-,FILOSOFIA 2,CIÊNCIA DA COMPUTAÇÃO 1,CIÊNCIA DA COMPUTAÇÃO 2,CIÊNCIA DA COMPUTAÇÃO 2,FILOSOFIA 1,-,-
310-B,FILOSOFIA 1,-,-,ENGENHARIA AMBIENTAL E SANITÁRIA 1,-,FILOSOFIA 1,CIÊNCIA DA COMPUTAÇÃO 1 | CIÊNCIA DA COMPUTAÇÃO 2,CIÊNCIA DA COMPUTAÇÃO 3,CIÊNCIA DA COMPUTAÇÃO 1,CIÊNCIA DA COMPUTAÇÃO 1 | CIÊNCIA DA COMPUTAÇÃO 3,CIÊNCIA DA COMPUTAÇÃO 1 | CIÊNCIA DA COMPUTAÇÃO 2,FILOSOFIA 1,CIÊNCIA DA COMPUTAÇÃO 1,CIÊNCIA DA COMPUTAÇÃO 2,FILOSOFIA 1,FILOSOFIA 1,CIÊNCIA DA COMPUTAÇÃO 1,-,-
105-C,-,-,-,-,-,-,FILOSOFIA 1,FILOSOFIA 1,-,ENGENHARIA AMBIENTAL E SANITÁRIA 1 | FILOSOFIA 1,-,-,FILOSOFIA 1,FILOSOFIA 1,FILOSOFIA 2,FILOSOFIA 1,FILOSOFIA 1,-,-
220-C,-,-,ENGENHARIA AMBIENTAL E SANITÁRIA 1,-,ENGENHARIA AMBIENTAL E SANITÁRIA 1,-,-,-,-,ENGENHARIA AMBIENTAL E SANITÁRIA 1,ENGENHARIA AMBIENTAL E SANITÁRIA 1,-,LETRAS 1,ADMINISTRAÇÃO 1,ADMINISTRAÇÃO 1,PEDAGOGIA 1,LETRAS 1,-,-
301-C,-,MEDICINA 1,AGRONOMIA 1,AGRONOMIA 3,AGRONOMIA 1,-,ENGENHARIA AMBIENTAL E SANITÁRIA 1,ENGENHARIA AMBIENTAL E SANITÁRIA 1 | MEDICINA 1,-,-,-,-,CIÊNCIA DA COMPUTAÇÃO 1,LETRAS - PIN 10,CIÊNCIA DA COMPUTAÇÃO 1,CIÊNCIAS SOCIAIS 1,LETRAS 1,-,-
LAB-CARTOGRAFIA-C,AGRONOMIA 1,AGRONOMIA 1,-,AGRONOMIA 1,-,-,ENFERMAGEM 1,-,-,-,ENGENHARIA AMBIENTAL E SANITÁRIA 1,-,CIÊNCIA DA COMPUTAÇÃO 1,PEDAGOGIA 1,LETRAS 1,CIÊNCIA DA COMPUTAÇÃO 1,-,-,-
LAB-HIDRO-C,-,-,-,PEDAGOGIA 1,-,-,ENGENHARIA AMBIENTAL E SANITÁRIA 2,ENGENHARIA AMBIENTAL E SANITÁRIA 2,ENGENHARIA AMBIENTAL E SANITÁRIA 2,-,-,-,PEDAGOGIA 1,ADMINISTRAÇÃO 1,LETRAS - PIN 3,ADMINISTRAÇÃO 3,-,-,-
MINIAUDITÓRIO-C,-,-,PEDAGOGIA 1,AGRONOMIA 4 | ENGENHARIA AMBIENTAL E SANITÁRIA 1,-,-,AGRONOMIA 1,-,-,-,ENGENHARIA AMBIENTAL E SANITÁRIA 1,-,ENGENHARIA AMBIENTAL E SANITÁRIA 1,HISTÓRIA 1,-FUSÃO: CIÊNCIAS SOCIAIS + FILOSOFIA + MATEMÁTICA 1,ADMINISTRAÇÃO 1,-FUSÃO: CIÊNCIAS SOCIAIS + MATEMÁTICA + PEDAGOGIA  1,-,-
LAB-EST-C,-,-,PEDAGOGIA 1,AGRONOMIA 2,PEDAGOGIA 1,-,-,-,ENGENHARIA AMBIENTAL E SANITÁRIA 1,ENFERMAGEM 1,AGRONOMIA 1,-,LETRAS 1,FILOSOFIA 3,LETRAS - PIN 4,CIÊNCIA DA COMPUTAÇÃO 1,PEDAGOGIA 1,-,-
