SALAS,MATUTINO,,,,,CC 2ª,VESPERTINO,,,,,,NOTURNO,,,,,ADM 3ª,SÁBADO,CADEIRAS
BLOCO A,SEG,TER,QUA,QUI,SEX,,SEG,TER,QUA,QUI,SEX,,SEG,TER,QUA,QUI,SEX,,,
201 – 2 quadros,,ENG – 2ª,ENG – 2ª,ENG – 2ª,ENG – 2ª,,ENG – 2ª,ENG – 2ª,ENG – 2ª,ENG – 2ª,ENG – 2ª,,TURMA ESPECIAL DE PÓS-COLHEITA  Agronomia,MAT – 2ª,MAT – 2ª,MAT – 2ª,MAT – 2ª,,,50
202 – 2 quadros,ENG – 8ª,ENG – 8ª,ENG – 8ª,ENG – 8ª,ENG – 8ª,,ENG – 8ª,ENG – 8ª,ENG – 8ª,,,,MAT – 4ª,TURMA ESPECIAL DE PÓS-COLHEITA  Agronomia,MAT – 4ª,MAT – 4ª,MAT – 4ª,,,50
203 – 2 quadros,,,,, CCr Docência com Bebês,,,,,,,,MAT – 6ª,MAT – 6ª,MAT – 6ª,MAT – 6ª,MAT – 6ª,,,50
204 – 2 quadros,ENG – 4ª,ENG – 4ª,ENG – 4ª,ENG – 4ª,ENG – 4ª,,,,ENG – 4ª,ENG – 4ª,ENG – 4ª,,MAT – 8ª,MAT – TODASª,MAT – 8ª,MAT – 8ª,MAT – 8ª,,MAT – 9ª,50
205 – 2 quadros,,,,,,,,,,,,,LETR – 2ª,,LETR – 2ª,LETR – 2ª,LETR – 2ª,,,50
206 – 2 quadros,MED – 1ª,MED – 1ª,MED – 1ª,MED – 1ª,MED – 1ª,,MED – 1ª,MED – 1ª,MED – 1ª,MED – 1ª,MED – 1ª,,LETR – 4ª,LETR – 4ª,PROIMIGRANTES – Leitura producao textual,LETR – 4ª,LETR – 4ª,,,50
207 – 2 quadros,MED – 3ª,MED – 3ª,MED – 3ª,MED – 3ª,PPGCB,,MED – 3ª,MED – 3ª,MED – 3ª,MED – 3ª,,,,LETR – 6ª,LETR – 6ª,LETR – 6ª,LETR – 6ª,,,50
208 – 2 quadros,MED – 5ª,MED – 5ª,MED – 5ª,MED – 5ª,MED – 5ª,,MED – 5ª,MED – 5ª,MED – 5ª,MED – 5ª,MED – 5ª,,LETR – 8ª,LETR – 8ª,LETR – 8ª,LETR – 8ª,LETR – 8ª,,turma suplementar do CCR GCH166 Trabalho de conclusão de Curso I,50
209 – 2 quadros,,,,,,,,,,,,,LETR – 10ª,LETR – 10ª,LETR – 10ª,LETR – 10ª,LETR – 10ª,,,50
210,,,,,,,,,,,,,PED – 1ª,PED – 1ª,PED – 1ª,PED – 1ª,PED – 1ª,,,50
301,AGR – 2ª,AGR – 2ª,AGR – 2ª,AGR – 2ª,AGR – 2ª,,,,,,,,GEO – 2ª,GEO – 2ª,GEO – 2ª,MED – 3ª,GEO – 2ª,,,50
302,PED – 4ª,PED – 4ª,PED – 4ª,PED – 4ª,PED – 4ª,,,,,,,,GEO – 4ª,GEO – 4ª,GEO – 4ª,GEO – 4ª,GEO – 4ª,,,50
303,PED – 6ª,PED – 6ª,PED – 6ª,PED – 6ª,PED – 6ª,,"PPGE – Joviles – Educação, Estado e Sociedade no Brasil"" do Programa de Pós-Graduação em Educação",,,,,,,PED – 7ª,PED – 7ª,PED – 7ª,PED – 7ª,,,50
304,PED – 8ª,PED – 8ª,PED – 8ª,PED – 8ª,PED – 8ª,,"CCR GEX458 - Tópicos especiais em geotecnia (36139),",dois monitores realizem atendimentos relacionados ao projeto de monitoria em química e física – arlindo,dois monitores realizem atendimentos relacionados ao projeto de monitoria em química e física – arlindo,,,,GEO – 8ª,GEO – 8ª,GEO – 8ª,GEO – 8ª,GEO – 8ª,,,50
305,PED – 10ª,PED – 10ª,PED – 10ª,PED – 10ª,PED – 10ª,,,,,,,,MED – 1ª,GEO – 10ª,GEO – 10ª,MED –TODASFASES,MED –TODASFASES,,GEO – 10ª,50
306 (100)  – 2 quadros,,,,,,,,PPGCB,,PPGCB,,,HIS – 2ª,HIS – 2ª,HIS – 2ª,HIS – 2ª,HIS – 2ª,,,100
307,,PPGH,,,PROFMAT,,PPGH,PPGH,,,PROFMAT,,HIS – 4ª,HIS – 4ª,HIS – 4ª,HIS – 4ª,HIS – 4ª,,,50
308,PPGE,PPGE,,,PROFMAT,,PPGE,PPGE,PPGEL,PPGEL,PROFMAT,,HIS – 6ª,CCr de Estágio em Educação Infantil II ,HIS – 6ª,HIS – 6ª,HIS – 6ª,,,50
309,PPGEL,,,PPGEL,PPGEL,,PPGEL,PPGE,PPGEL,PPGEL,PPGEL,,HIS – 8ª,HIS – 8ª,HIS – 8ª,HIS – 8ª,HIS – 8ª,,,50
BLOCO B,SEG,TER,QUA,QUI,SEX,,SEG,TER,QUA,QUI,SEX,,SEG,TER,QUA,QUI,SEX,,,
105,PED – 2ª,PED – 2ª,PED – 2ª,PED – 2ª,PED – 2ª,,,,,,,,,,,,,,,50
106,,,,,,,,,,,,,,,,,,,,50
107,,,,,,,,,,,,,,,,,,,,50
201,,,,,,,AGR – 2ª,AGR – 2ª,AGR – 2ª,AGR – 2ª,,,PPGH,PPGH,CS – 8ª,CS – 8ª,CS – 8ª,,CC – 9ª,50
202,ADM – 4ª,ADM – 4ª,ADM – 4ª,ADM – 4ª,ADM – 4ª,,AGR – 4ª,AGR – 4ª,AGR – 4ª,AGR – 4ª,AGR – 6ª – extra,,FIL – 2ª,FIL – 2ª,FIL – 2ª,FIL – 2ª,FIL – 2ª,,,50
203,ADM – 6ª,ADM – 6ª,ADM – 6ª,ADM – 6ª,ADM – 6ª,,,,,,,,FIL – 4ª,FIL – 4ª,FIL – 4ª,FIL – 4ª,FIL – 4ª,,,50
204,ADM – 8ª,ADM – 8ª,ADM – 8ª,ADM – 8ª,ADM – 8ª,,AGR – 6ª,AGR – 6ª,AGR – 6ª,AGR – 6ª,AGR – 6ª,,FIL – 6ª,FIL – 6ª,FIL – 6ª,FIL – 6ª,,,,50
205 – 2 quadros,,,,,PROFMAT,,PPGFIL,LETR – 9ª,,LETR – 10ª,,,PPGEO,FIL – 8ª,FIL – 8ª,FIL – 8ª,MAT – TODASª,,CC – 8ª,50
206,ENF – 2ª,ENF – 2ª,ENF – 2ª,ENF – 2ª,ENF – 2ª,,ENF – 2ª,ENF – 2ª,ENF – 2ª,ENF – 2ª,ENF – 2ª,,ADM – 9ª,ADM – 9ª,ADM – 9ª,ADM – 9ª,ADM – 9ª,,,50
207 – 2 quadros,ENF – 4ª,ENF – 4ª,ENF – 4ª,ENF – 4ª,ENF – 4ª,,ENF – 4ª,ENF – 4ª,ENF – 4ª,ENF – 4ª,ENF – 4ª,,CS – 6ª,CS – 6ª,CS – 6ª,CS – 6ª,CS – 6ª,,,50
208,ENF – 6ª,ENF – 6ª,ENF – 6ª,ENF – 6ª,ENF – 6ª,,ENF – 6ª,ENF – 6ª,ENF – 6ª,ENF – 6ª,ENF – 6ª,,ADM – 3ª,ADM – 3ª,ADM – 3ª,ADM – 3ª,ADM – 3ª,,,50
209 – 2 quadros,ENF – 8ª,ENF – 8ª,ENF – 8ª,ENF – 8ª,ENF – 8ª,,ENF – 8ª,ENF – 8ª,ENF – 8ª,ENF – 8ª,ENF – 8ª,,ADM – 5ª,ADM – 5ª,ADM – 5ª,ADM – 5ª,ADM – 5ª,,,50
210,,ADM – 8ª – extra,,ENF – 10ª,AGR – 8ª extra 2,,ENF – 10ª,ENF – 10ª,ENF – 10ª,ENF – 10ª,ENF – 10ª,,ADM – 7ª,ADM – 7ª,ADM – 7ª,ADM – 7ª,ADM – 7ª,,,50
301  – 2 quadros,ENG – 6ª,ENG – 6ª,ENG – 6ª,ENG – 6ª,ENG – 6ª,,ENG – 6ª,ENG – 6ª,ENG – 6ª,ENG – 6ª,ENG – 6ª,,CC – 1ª,CC – 1ª,CC – 1ª,CC – 1ª,CC – 1ª,,,50
302 – 2 quadros,AGR – 8ª,AGR – 8ª,AGR – 8ª,AGR – 8ª,AGR – 8ª,,AGR – 8ª,AGR – 8ª,AGR – 8ª,AGR – 8ª,AGR – 8ª,,CC – 3ª,CC – 3ª,CC – 3ª,CC – 3ª,CC – 3ª,,,50
303 – 2 quadros,AGR – 4ª,AGR – 4ª,AGR – 4ª,AGR – 4ª,AGR – 4ª,,LETR – PIN,,CC – 8ª,,,,CC – 5ª,CC – 5ª,CC – 5ª,CC – 5ª,CC – 5ª,,,50
304 – 2 quadros,AGR – 6ª,AGR – 6ª,AGR – 6ª,AGR – 6ª,AGR – 6ª,,CC – 2ª,CC – 2ª,CC – 2ª,CC – 2ª,CC – 2ª,,CC – 7ª,CC – 7ª,CC – 7ª,CC – 7ª,CC – 7ª,,,50
305 – 2 quadros,dois monitores realizem atendimentos relacionados ao projeto de monitoria em química e física – arlindo,,dois monitores realizem atendimentos relacionados ao projeto de monitoria em química e física – arlindo,dois monitores realizem atendimentos relacionados ao projeto de monitoria em química e física – arlindo,dois monitores realizem atendimentos relacionados ao projeto de monitoria em química e física – arlindo,,CC – 4ª,CC – 4ª,CC – 4ª,CC – 4ª,CC – 4ª,,CS – 8ª,CS – 8ª,CC – 9ª,CC – 9ª,CC – 9ª,,,50
308 – 2 quadros,ADM – 2ª,ADM – 2ª,ADM – 2ª,ADM – 2ª,ADM – 2ª,,CC – 6ª,CC – 6ª,CC – 6ª,CC – 6ª,CC – 6ª,,LETR – PIN,LETR – PIN,LETR – PIN,LETR – PIN,Cc 2 fase – turma extra algoritmo,,,50
309 – 2 quadros,,CC – 2ª,,CC – 2ª,AGR – 8ª extra 1,,CC – 2ª – extra – digitais e estrutura,Línguas – curso de línguas – anglo – francofilo,,CC – 2ª – extra – digitais e estrutura,,,PED – 5ª,PED – 5ª,PED – 5ª,PED – 5ª,PED – 5ª,,,50
310 – 2 quadros,CC – 4ª,PPGEO,CC – 4ª,PPGEO,PPGEO,,PPGEO,PPGEO,PPGEO,PPGEO,PPGEO,,GEO – 6ª,GEO – 6ª,GEO – 6ª,GEO – 6ª,GEO – 6ª,,,50
BLOCO C,MATUTINO,,,,,,VESPERTINO,,,,,,NOTURNO,,,,,,SÁBADO,
301,,,,,,,,,,,,,PED – 9ª,PED – 9ª,PED – 9ª,PED – 9ª,PED – 9ª,,,40
302,,,,,,,,,,,,,PPGE,PPGE,PED – REOFERTA,,PED – REOFERTA,,,40
303,,,,,,,,,,,,,,PED – 3ª,CS – 8ª EXTRA,PED – 3ª,PED – 3ª,,,40
311,MED – 7ª,MED – 7ª,MED – 7ª,MED – 7ª,MED – 7ª,,MED – 7ª,MED – 7ª,MED – 7ª,MED – 7ª,MED – 7ª,,MED – 7ª,MED – 7ª,MED – 7ª,MED - Prof. Werner André Weissheimer,,,,40
312,,,,,,,,,,,,,CS – 2ª,CS – 2ª,CS – 2ª,CS – 2ª,CS – 2ª,,,40
313,,,,,,,,,,,,,CS – 4ª,Ari Söthe,CS – 4ª,CS – 4ª,CS – 4ª,,Ari Söthe,40
105,,,,,,,,Diego Anderson Hoff,,,Diego Anderson Hoff,,ADM – 1ª,ADM – 1ª,ADM – 1ª,ADM – 1ª,ADM – 1ª,,,105
